"","loc.01","loc.02","loc.03","loc.04","loc.05","loc.06","loc.07","loc.08","loc.09","loc.10","loc.11","loc.12","loc.13","loc.14","loc.15","loc.16","loc.17"
"1995.month.winter",0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,667,2210
"1996.month.spring",3700,1000,0,0,349,1128,0,0,0,0,0,0,0,0,0,83,236
"1996.month.summer",6500,4700,0,0,537,1466,31,150,0,0,0,0,0,0,0,512,1465
"1996.month.fall",325,2400,2100,436,1262,3563,38.5,192.5,0,0,0,0,0,0,0,1693,5721
"1996.month.winter",0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,655,2935
"1997.month.spring",4400,2700,0,0,776,1680,42,258,0,0,0,0,0,0,0,74,273
"1997.month.summer",4600,3100,0,0,421,1454,17,143,0,0,0,258,269.25,269.285714285714,4709.28571428572,2332,7203
"1997.month.fall",50,3700,300,106,675,2729,0,0,0,0,0,63,34.75,330.714285714286,5850.71428571428,1144,4430
"1997.month.winter",0,0,0,0,56,11,0,0,0,0,0,0,0,0,0,657,5678
"1998.month.spring",3400,900,0,0,533,2122,3,124,0,0,0,121.8,58.86,0,0,75,691
"1998.month.summer",2200,3800,0,0,412,1294,0,12,0,0,0,227,0,116,1143.28571428571,3,77
"1998.month.fall",200,3600,300,164,604,2090,0,0,0,0,0,47,33,159,4663.71428571429,4896,17847
"1998.month.winter",0,0,0,0,82,34,0,0,0,0,0,20,32,0,0,795,6038
"1999.month.spring",1325,1300,0,0,205,579,53,218,0,0,0,0,0,0,0,94,796
"1999.month.summer",3600,6100,0,0,1201,893,83.5,283.5,0,0,0,0,0,0,0,938,3212
"1999.month.fall",300,3300,200,236,1304,762,24.5,67.5,0,0,0,635,455,95,1789,902,4148
"1999.month.winter",0,0,0,0,136,2,0,0,0,0,0,18,17,0,0,830,5300
"2000.month.spring",3387,1823,0,0,269,596,1,193,0,0,0,237,178,0,0,184,1286
"2000.month.summer",4503,4608,0,0,953,1185,6,95,0,0,0,0,0,0,0,469,2192
"2000.month.fall",211,4700,1079,142,2152,1805,360,37,0,0,0,205,622,0,691,1761,8531
"2000.month.winter",0,0,0,0,245,4,0,0,0,0,0,179,107,0,7,856,6218
"2001.month.spring",2688,2000,206,0,1109,1857,77,161,0,0,0,1250,21,0,132,147,984
"2001.month.summer",1022,3468,0,0,1317,2062,239.5,255.5,0,0,0,0,0,2.55,311,670,2909
"2001.month.fall",49,3483,610,315,1748,2677,219,54,0,0,0,258,93,0,493,2199,10171
"2001.month.winter",0,0,0,0,298,208,0,0,0,0,0,133,0,0,25.4285714285715,787,5576
"2002.month.spring",1988,2258,0,0,1305,1284,205.5,262.5,0,0,0,1255.79,929.21,0,1606.14285714286,173,1189
"2002.month.summer",3209,4486,216,0,1686,1116,402.5,439.5,0,0,0,325.97,213,11.4285714285714,505.285714285715,1323,4016
"2002.month.fall",332,2401,1908,605,1901,3436,278,180,0,0,0,177.18,163.82,64.5714285714286,804.142857142856,3800,11247
"2002.month.winter",0,0,0,0,294,54,0,0,0,0,0,305,39,0,52,2016,7060
"2003.month.spring",1006,1046,1022,16,2603,1698,162.5,371.5,0,0,0,1069,1537,0,1157,309,1322
"2003.month.summer",1290,3637,1497,4,1012,1610,304.5,542.5,0,0,0,162,42,0,1459,5064,10238
"2003.month.fall",448,2087,3777,111,1681,3071,361.5,368.5,0,0,0,198,51,24,505.857142857143,1712,4347
"2003.month.winter",0,0,0,0,541,522,0,0,0,0,0,478,229,0,271.428571428572,2278,7913
"2004.month.spring",2026,3120,0,22,1959,2766,173.5,337.5,0,0,0,716.56,1225.44,0,300.714285714285,493,2662
"2004.month.summer",2239,5666,2426,38,1632,1253,152,336,0,0,0,0,0,0,2400,2536,7406
"2004.month.fall",504,2070,3158,464,2424,1647,361,368,0,0,0,58.33,475.67,0,55.2857142857143,1154,3467
"2004.month.winter",0,0,0,0,1015,557,0,0,0,0,0,317.45,1154.91,0,258.714285714286,2850,8872
"2005.month.spring",3881,0,0,0,2116,1086,361.5,360.5,0,0,0,382.91,1990.41,0,7,353,1531
"2005.month.summer",1845,3533,0,0,0,2663,194,353,0,0,0,0,0,0,3105,2941,8134
"2005.month.fall",843,5137,1455,324,1995,1708,348.5,336.5,0,0,0,547.46,475.53,0,348,2798,8035
"2005.month.winter",0,0,0,0,234,1,0,0,0,0,0,333,1012,0,0,2876,8888
"2006.month.spring",2062,0,0,0,0,0,669,271,0,0,0,602,892,0,14,770,2724
"2006.month.summer",137,616,0,0,0,1521,423,413,0,0,0,220,218,0,3650,2518,7260
"2006.month.fall",138,4872,434,0,342,1353,206.5,436.5,0,0,0,307,676,0,1663,2610,6405
"2006.month.winter",0,0,0,0,208,123,0,0,0,0,0,320,437,0,0,3154,5834
"2007.month.spring",1476,1656,106,0,823,727,282.5,261.5,0,0,0,1052,688,0,0,855,2653
"2007.month.summer",363,2954,0,0,798,493,229,501,0,0,0,425,403,0,2551,4119,11315
"2007.month.fall",339,2126,1294,357,1331,562,232.5,92.5,0,0,0,231,135,0,1207,1770,4266
"2007.month.winter",0,0,0,0,138,36,0,0,0,0,0,146,247,0,0,2144,5064
"2008.month.spring",0,0,0,0,0,0,414,145,0,0,0,571,651,0,0,760,2754
"2008.month.summer",0,0,0,0,0,0,534.5,439.5,0,0,0,408,235,0,2525,1416,4645
"2008.month.fall",0,0,0,0,51,49,168,183,0,0,0,764,243,0,1087,1396,3888
"2008.month.winter",0,0,0,0,48,0,0,0,0,0,0,181,580,0,0,1540,3766
"2009.month.spring",0,0,0,0,0,0,217,329,0,0,0,527,643,0,0,436,2610
"2009.month.summer",0,0,0,0,0,0,636,697,0,0,0,332,156,0,3303,2116,6685
"2009.month.fall",0,0,0,0,136,555,334,306,0,0,0,137,71,0,582,1937,5392
"2009.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1893,6207
"2010.month.spring",0,0,0,0,551,510,201,402,0,0,0,534,762,0,0,773,3078
"2010.month.summer",245,244,616,0,593,982,989,844,0,0,0,314,150,0,3430,2289,6161
"2010.month.fall",0,0,870,0,592,429,346,288,0,0,0,214,104,0,375,1457,3873
"2010.month.winter",0,0,0,0,0,0,0,0,0,0,0,60,120,0,0,2460,6475
"2011.month.spring",979,900,0,0,855,409,277,456,0,0,0,535,2035,0,0,664,2451
"2011.month.summer",608,1037,596,152,880,368,547,765,0,0,0,336,466,0,1036,1689,3736
"2011.month.fall",135,970,1547,49,523,190,122.5,184.5,0,0,0,170,95,0,0,3130,6650
"2011.month.winter",0,0,0,0,235,0,0,0,0,0,0,79,72,0,0,2637,6859
"2012.month.spring",2015,1723,0,0,1122,855,126,301,0,0,0,197,837,0,0,663,2590
"2012.month.summer",2154,2885,960,0,814,576,583,852,0,0,0,0,0,0,3786.9,2452,5149
"2012.month.fall",322,2897,1261,305,1036,1313,141,473,0,0,0,288,138,0,640.07,7835,14379
"2012.month.winter",0,0,0,0,121,0,0,0,0,0,0,107,143,0,0,2598,5214
"2013.month.spring",1590,2401,277,182,1085,1094,301,531,0,0,0,503,392,0,0,852,2311
