"","loc.01","loc.02","loc.03","loc.04","loc.05","loc.06","loc.07","loc.08","loc.09","loc.10","loc.11","loc.12","loc.13","loc.14","loc.15","loc.16","loc.17"
"1996.month.spring",0,0,0,0,0,0,0,0,24039.5,8531,0,0,0,0,0,0,0
"1996.month.summer",0,0,0,0,0,0,0,0,40126.0322580645,11033,0,0,0,0,0,0,0
"1996.month.fall",0,0,0,0,0,0,0,0,149077.85483871,38935.9838709677,0,0,0,0,0,0,0
"1996.month.winter",0,0,0,0,0,0,0,0,75349,5908,0,0,0,0,0,0,0
"1997.month.spring",0,0,0,0,0,0,0,0,17263.5,5662,0,0,0,0,0,0,0
"1997.month.summer",0,0,0,0,0,0,0,0,26782.9677419355,17226,0,0,0,0,0,0,0
"1997.month.fall",0,0,0,0,0,0,0,0,157852.274193548,58692.3064516129,0,0,0,0,0,0,0
"1997.month.winter",0,0,0,0,0,0,0,0,56148,9467,0,0,0,0,0,0,0
"1998.month.spring",0,0,0,0,0,0,0,0,15102.5,1233,0,0,0,0,0,0,0
"1998.month.summer",0,0,0,0,0,0,0,0,20111,0,0,0,0,0,0,0,0
"1998.month.fall",0,0,0,0,0,0,0,0,82842.2258064516,4791.64516129032,0,0,0,0,0,0,0
"1998.month.winter",0,0,0,0,0,0,0,0,38587,7137,0,0,0,0,0,0,0
"1999.month.spring",0,0,0,0,0,0,0,0,11404,1965,0,0,0,0,0,0,0
"1999.month.summer",0,0,0,0,0,0,0,0,9645,61,0,0,0,0,0,0,0
"1999.month.fall",0,0,0,0,0,0,0,0,73926.3870967742,9101,0,0,0,0,0,0,0
"1999.month.winter",0,0,0,0,0,0,0,0,33905.75,5204.25,0,0,0,0,0,0,0
"2000.month.spring",0,0,0,0,0,0,0,0,3101,592.333333333333,0,0,0,0,0,0,0
"2000.month.summer",0,0,0,0,0,0,0,0,9584,41,0,0,0,0,0,0,0
"2000.month.fall",0,0,0,0,0,0,0,0,71187.5483870968,12521,0,0,0,0,0,0,0
"2000.month.winter",0,0,0,0,0,0,0,0,49780.1785714286,9331.32142857143,0,0,0,0,0,0,0
"2001.month.spring",0,0,0,0,0,0,0,0,6635,1500,0,0,0,0,0,0,0
"2001.month.summer",0,0,0,0,0,0,0,0,19871,4087,0,0,0,0,0,0,0
"2001.month.fall",0,0,0,0,0,0,0,0,111075,26762,0,0,0,0,0,0,0
"2001.month.winter",0,0,0,0,0,0,0,0,57321.5771889401,7758.64285714286,0,0,0,0,0,0,0
"2002.month.spring",0,0,0,0,0,0,0,0,4525.33333333333,842,0,0,0,0,0,0,0
"2002.month.summer",0,0,0,0,0,0,0,0,9239,0,0,0,0,0,0,0,0
"2002.month.fall",0,0,0,0,0,0,0,0,82782,24515,0,0,0,0,0,0,0
"2002.month.winter",0,0,0,0,0,0,0,0,52324.1612903226,12014.5,0,0,0,0,0,0,0
"2003.month.spring",0,0,0,0,0,0,0,0,2852.66666666667,149.666666666667,0,0,0,0,0,0,0
"2003.month.summer",0,0,0,0,0,0,0,0,11969,5507.12903225806,0,0,0,0,0,0,0
"2003.month.fall",0,0,0,0,0,0,0,0,89828,33499.4516129032,0,0,0,0,0,0,0
"2003.month.winter",0,0,0,0,0,0,0,0,46366.6935483871,8971.17857142857,0,0,0,0,0,0,0
"2004.month.spring",0,0,0,0,0,0,0,0,8658.5,1060.33333333333,0,0,0,0,0,0,0
"2004.month.summer",0,0,0,0,0,0,0,0,9591,3642,0,0,0,0,0,0,0
"2004.month.fall",0,0,0,0,0,0,0,0,71266,38060.7419354839,0,0,0,0,0,0,0
"2004.month.winter",0,0,0,0,0,0,0,0,42291.9642857143,5983.10714285714,0,0,0,0,0,0,0
"2005.month.spring",0,0,0,0,0,0,0,0,3426.83333333333,7,0,0,0,0,0,0,0
"2005.month.summer",0,0,0,0,0,0,0,0,3710,3098,0,0,0,0,0,0,0
"2005.month.fall",0,0,0,0,0,0,0,0,66976.5806451613,32517.0322580645,0,0,0,0,0,0,0
"2005.month.winter",0,0,0,0,0,0,0,0,46407,5098.89285714286,0,0,0,0,0,0,0
"2006.month.spring",0,0,0,0,0,0,0,0,5229.16666666667,644.333333333333,0,0,0,0,0,0,0
"2006.month.summer",0,0,0,0,0,0,0,0,8246,1953,0,0,0,0,0,0,0
"2006.month.fall",0,0,0,0,0,0,0,0,92678.8709677419,48654,0,0,0,0,0,0,0
"2006.month.winter",0,0,0,0,0,0,0,0,43357,6738.64285714286,0,0,0,0,0,0,0
"2007.month.spring",0,0,0,0,0,0,0,0,8623.66666666667,621.333333333333,0,0,0,0,0,0,0
"2007.month.summer",0,0,0,0,0,0,0,0,15984.3225806452,4099,0,0,0,0,0,0,0
"2007.month.fall",0,0,0,0,0,0,0,0,137117.096774194,47276,0,0,0,0,0,0,0
"2007.month.winter",0,0,0,0,0,0,0,0,42562.2062211982,6697.57142857143,0,0,0,0,0,0,0
"2008.month.spring",0,0,0,0,0,0,0,0,5147.5,1688.66666666667,0,0,0,0,0,0,0
"2008.month.summer",0,0,0,0,0,0,0,0,17393.1612903226,2109,0,0,0,0,0,0,0
"2008.month.fall",0,0,0,0,0,0,0,0,101089.64516129,23905.064516129,0,0,0,0,0,0,0
"2008.month.winter",0,0,0,0,0,0,0,0,37858.4101382488,9963.35714285714,0,0,0,0,0,0,0
"2009.month.spring",0,0,0,0,0,0,0,0,14826.1666666667,1278.16666666667,0,0,0,0,0,0,0
"2009.month.summer",0,0,0,0,0,0,0,0,21748.1935483871,8590,0,0,0,0,0,0,0
"2009.month.fall",0,0,0,0,0,0,0,0,154464,50304.4838709677,0,0,0,0,0,0,0
"2009.month.winter",0,0,0,0,0,0,0,0,42108.8064516129,9840.28571428571,0,0,0,0,0,0,0
"2010.month.spring",0,0,0,0,0,0,0,0,5935,1947,0,0,0,0,0,0,0
"2010.month.summer",0,0,0,0,0,0,0,0,19688.064516129,3170,0,0,0,0,0,0,0
"2010.month.fall",0,0,0,0,0,0,0,0,103429,30007.5806451613,0,0,0,0,0,0,0
"2010.month.winter",0,0,0,0,0,0,0,0,23401,8234.71428571429,0,0,0,0,0,0,0
"2011.month.spring",0,0,0,0,0,0,0,0,3222.5,3201.66666666667,0,0,0,0,0,0,0
"2011.month.summer",0,0,0,0,0,0,0,0,7497.41935483871,7012,0,0,0,0,0,0,0
"2011.month.fall",0,0,0,0,0,0,0,0,130979,41373.0967741935,0,0,0,0,0,0,0
"2011.month.winter",0,0,0,0,0,0,0,0,42819.1290322581,6535.39285714286,0,0,0,0,0,0,0
"2012.month.spring",0,0,0,0,0,0,0,0,4421,2451.33333333333,0,0,0,0,0,0,0
"2012.month.summer",0,0,0,0,0,0,0,0,13856.7096774194,7097,0,0,0,0,0,0,0
"2012.month.fall",0,0,0,0,0,0,0,0,129229,40061.8387096774,0,0,0,0,0,0,0
"2012.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2013.month.spring",0,0,0,0,0,0,0,0,3215.5,1084.66666666667,0,0,0,0,0,0,0
"2013.month.summer",0,0,0,0,0,0,0,0,44669.3548387097,38912,0,0,0,0,0,0,0
"2013.month.fall",0,0,0,0,0,0,0,0,155700,36860.8387096774,0,0,0,0,0,0,0
"2013.month.winter",0,0,0,0,0,0,0,0,17943,15232,0,0,0,0,0,0,0
"2014.month.spring",0,0,0,0,0,0,0,0,5607.5,2937.33333333333,0,0,0,0,0,0,0
"2014.month.summer",0,0,0,0,0,0,0,0,41843.8064516129,0,0,0,0,0,0,0,0
"2014.month.fall",0,0,0,0,0,0,0,0,85645.8064516129,36515,0,0,0,0,0,0,0
"2014.month.winter",0,0,0,0,0,0,0,0,32256.6129032258,16874.5357142857,0,0,0,0,0,0,0
"2015.month.spring",0,0,0,0,0,0,0,0,8069,393,0,0,0,0,0,0,0
"2015.month.summer",0,0,0,0,0,0,0,0,58312.3870967742,38297,0,0,0,0,0,0,0
"2015.month.fall",0,0,0,0,0,0,0,0,79959.3870967742,40524.6774193548,0,0,0,0,0,0,0
