"","loc.01","loc.02","loc.03","loc.04","loc.05","loc.06","loc.07","loc.08","loc.09","loc.10","loc.11","loc.12","loc.13","loc.14","loc.15","loc.16","loc.17"
"2005.month.fall",1715,31314,8980,8814,18849,11237,37000,31534,0,0,0,0,0,0,0,0,0
"2005.month.winter",0,965,587,0,14,22,0,0,0,0,0,0,0,0,0,0,0
"2006.month.spring",17764,15435,3127,4276,923,580,0,0,0,0,0,0,0,0,0,0,0
"2006.month.summer",9776,34733,12572,8420,14614,12011,7451,17605,0,0,0,0,0,0,0,0,0
"2006.month.fall",176,10755,4682,3755,12247,13580,23961,24489,0,0,0,0,0,0,0,0,0
"2006.month.winter",0,448,1104,0,17,117,0,0,0,0,0,0,0,0,0,0,0
"2007.month.spring",14948,10420,2972,2014,694,957,0,0,0,0,0,0,0,0,0,0,0
"2007.month.summer",8189,22115,10864,11412,14397,17850,10034,17482,0,0,0,0,0,0,0,0,0
"2007.month.fall",2071,9185,2184,7017,18977,22927,32483,25069,0,0,0,0,0,0,0,0,0
"2007.month.winter",0,1394,391,0,0,40,0,0,0,0,0,0,0,0,0,0,0
"2008.month.spring",0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0
"2008.month.summer",0,0,0,0,8622,5341,7656,15398,0,0,0,0,0,0,0,0,0
"2008.month.fall",0,0,0,0,3572,9229,6371,11773,0,0,0,0,0,0,0,0,0
"2008.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2009.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2009.month.summer",0,0,0,0,12385,27368,16247,19219,0,0,0,0,0,0,0,0,0
"2009.month.fall",0,0,0,5359,7908,24607,38184,40160,0,0,0,0,0,0,0,0,0
"2009.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010.month.spring",15635,5410,2499,536,517,475,0,0,0,0,0,0,0,0,0,0,0
"2010.month.summer",2304,6539,2203,1621,3489,9017,10239,27831,0,0,0,0,0,0,0,0,0
