"location.name","season","MEAN.trim","SD.trim"
"MONT","Fal",14.4949256006335,0.783195915698476
"MONT","Spr",12.0744043975197,0.779170603673555
"MONT","Sum",13.1682852139207,0.654731073138117
"MONT","Win",12.762296419189,0.802061514872582
"SFB","Fal",13.3109843133695,0.705552376912125
"SFB","Spr",11.1484356085283,0.802777772731297
"SFB","Sum",11.7895673805159,0.607320190031814
"SFB","Win",11.8752270190611,0.748107938698791
"MEN","Fal",12.4837544949359,0.76398252829377
"MEN","Spr",10.917245706702,0.797654589645681
"MEN","Sum",11.2611249870291,0.6680780712255
"MEN","Win",11.5199757095222,0.730895659983934
"NCA","Fal",12.383797154996,0.840850076185445
"NCA","Spr",11.0480521176268,0.862039995328122
"NCA","Sum",11.7748594406403,0.803483904226084
"NCA","Win",11.1558026493152,0.711481013331344
"SOR","Fal",12.7769966439703,1.08656658357605
"SOR","Spr",11.2194716170622,0.70558031097487
"SOR","Sum",12.7609698094655,0.926591949663042
"SOR","Win",10.6947754237311,0.620110950413073
"NOR","Fal",13.643078513268,0.932581140368951
"NOR","Spr",11.3662574300703,0.621269840291243
"NOR","Sum",13.927543088717,0.768936225988626
"NOR","Win",10.3967824443799,0.602096353197468
"COL","Fal",13.9037121913498,0.710874246236641
"COL","Spr",11.2180925003974,0.573956912987211
"COL","Sum",13.995082625313,0.701093230394134
"COL","Win",9.7672623585092,0.633678747018022
"WAC","Fal",13.1471150292063,0.738425142478763
"WAC","Spr",10.7988121694779,0.655187621700871
"WAC","Sum",13.12892156741,0.790799740065123
"WAC","Win",9.48684190568505,0.634773677761807
"PUSO","Fal",12.9948436019717,0.466651407645453
"PUSO","Spr",10.0492984389453,0.822048571486583
"PUSO","Sum",13.0950341733243,0.670658155488616
"PUSO","Win",9.06419789808107,0.451737141294858
"PUSO_out","Fal",11.0864709359279,0.346195761054238
"PUSO_out","Spr",9.49917495961121,0.397557823882852
"PUSO_out","Sum",11.1109333286986,0.304597835263434
"PUSO_out","Win",8.24208792348151,0.540363737860431
"SGEO","Fal",15.0114605026597,0.526128641129308
"SGEO","Spr",11.2244075617923,0.706121129923223
"SGEO","Sum",16.5561398603534,0.60288401298751
"SGEO","Win",7.98760667818388,0.325229632461301
"SWVI","Fal",12.2324491147948,0.725006747005401
"SWVI","Spr",10.155511909285,0.661952875489621
"SWVI","Sum",12.3396742130686,0.793326778309412
"SWVI","Win",8.95946798929789,0.571610290517471
"NWVI","Fal",11.6963424656323,0.575092006253544
"NWVI","Spr",8.97674620698969,0.637458727601453
"NWVI","Sum",11.2553473138448,0.686512830706647
"NWVI","Win",8.15182183705935,0.512406609262111
"CBC","Fal",10.9994180127585,0.456108601631054
"CBC","Spr",7.82786675606358,0.617784451010122
"CBC","Sum",10.7351611750942,0.613602808111616
"CBC","Win",7.30108750773268,0.471219703269604
"NBC","Fal",11.2726089485028,0.451931875996499
"NBC","Spr",7.52877907858338,0.643952296099613
"NBC","Sum",10.7662772573793,0.656700834913604
"NBC","Win",7.1006515140209,0.507319282087891
"SSEAK","Fal",7.91753650935866,0.383224838559915
"SSEAK","Spr",5.0023603371246,0.452401058541905
"SSEAK","Sum",7.4080637069416,0.483782426642782
"SSEAK","Win",4.79676173756368,0.378994066494333
"NSEAK","Fal",8.92810065864962,0.475051508608003
"NSEAK","Spr",5.20567936739623,0.441716929464397
"NSEAK","Sum",8.4691749540246,0.641134807528694
"NSEAK","Win",4.99605979882058,0.373863096123543
